onset	duration	trial_type	response_time	correct	stim_file
9.4	1.2	Infrequent	0.6	100	17.png
21.2	1.2	Frequent  	0.7	0	17.png
33.2	1.2	Infrequent	0.6	100	145.png
45.4	1.2	Frequent  	0.5	100	98.png
57.2	1.2	Frequent  	0.7	100	146.png
69.3	1.2	Frequent  	0.7	100	17.png
81.2	1.2	Infrequent	0.6	100	98.png
93.3	1.2	Frequent  	0.4	100	98.png
105.3	1.2	Frequent  	0.7	100	17.png
117.2	1.2	Frequent  	0.5	100	98.png
129.2	1.2	Frequent  	0.7	100	145.png
141.2	1.2	Infrequent	0.8	100	146.png
153.3	1.2	Frequent  	0.5	100	98.png
165.2	1.2	Frequent  	0.6	100	145.png
177.4	1.2	Frequent  	0.7	100	146.png
189.2	1.2	Frequent  	0.7	100	17.png
201.4	1.2	Frequent  	0.6	100	146.png
213.3	1.2	Frequent  	0.6	100	146.png
225.3	1.2	Frequent  	0.6	100	145.png
237.2	1.2	Frequent  	0.6	100	146.png
249.2	1.2	Frequent  	0.7	100	17.png
261.4	1.2	Frequent  	0.6	100	145.png
273.2	1.2	Frequent  	0.5	100	98.png
285.4	1.2	Frequent  	0.6	100	145.png
