onset	duration	trial_type	sub_type	electrodes_involved_onset	electrodes_involved_offset	offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	electrical_stimulation_frequency	electrical_stimulation_pulsewidth	notes
189.611328125	0.41796875	artefact	n/a	all	all	190.029296875	97081	97295	n/a	n/a	n/a	n/a	n/a	n/a
322.388671875	0.1875	artefact	n/a	all	all	322.576171875	165063	165159	n/a	n/a	n/a	n/a	n/a	n/a
340.265625	0.220703125	artefact	n/a	all	all	340.486328125	174216	174329	n/a	n/a	n/a	n/a	n/a	n/a
396.865234375	1.080078125	artefact	n/a	all	all	397.9453125	203195	203748	n/a	n/a	n/a	n/a	n/a	n/a
422.1484375	0.1640625	artefact	n/a	all	all	422.3125	216140	216224	n/a	n/a	n/a	n/a	n/a	n/a
423.162109375	0.26171875	artefact	n/a	all	all	423.423828125	216659	216793	n/a	n/a	n/a	n/a	n/a	n/a
570.064453125	0.26171875	artefact	n/a	all	all	570.326171875	291873	292007	n/a	n/a	n/a	n/a	n/a	n/a
802.59375	1.134765625	artefact	n/a	all	all	803.728515625	410928	411509	n/a	n/a	n/a	n/a	n/a	n/a
807.751953125	0.44140625	artefact	n/a	all	all	808.193359375	413569	413795	n/a	n/a	n/a	n/a	n/a	n/a
993.44140625	0.9140625	artefact	n/a	all	all	994.35546875	508642	509110	n/a	n/a	n/a	n/a	n/a	n/a
1061.140625	0.6953125	artefact	n/a	all	all	1061.8359375	543304	543660	n/a	n/a	n/a	n/a	n/a	n/a
1190.427734375	7.2734375	artefact	n/a	all	all	1197.701171875	609499	613223	n/a	n/a	n/a	n/a	n/a	n/a
1208.94921875	2.068359375	artefact	n/a	all	all	1211.017578125	618982	620041	n/a	n/a	n/a	n/a	n/a	n/a
1219.986328125	8.73828125	artefact	n/a	all	all	1228.724609375	624633	629107	n/a	n/a	n/a	n/a	n/a	n/a
1230.7265625	1.462890625	artefact	n/a	all	all	1232.189453125	630132	630881	n/a	n/a	n/a	n/a	n/a	n/a
1235.705078125	0.62890625	artefact	n/a	all	all	1236.333984375	632681	633003	n/a	n/a	n/a	n/a	n/a	n/a
1244.32421875	14.271484375	artefact	n/a	all	all	1258.595703125	637094	644401	n/a	n/a	n/a	n/a	n/a	n/a
1267.64453125	2.166015625	artefact	n/a	all	all	1269.810546875	649034	650143	n/a	n/a	n/a	n/a	n/a	n/a
1276.029296875	0.751953125	artefact	n/a	all	all	1276.78125	653327	653712	n/a	n/a	n/a	n/a	n/a	n/a
1279.748046875	5.03515625	artefact	n/a	all	all	1284.783203125	655231	657809	n/a	n/a	n/a	n/a	n/a	n/a
1294.732421875	0.43359375	artefact	n/a	all	all	1295.166015625	662903	663125	n/a	n/a	n/a	n/a	n/a	n/a
1297.85546875	0.47265625	artefact	n/a	all	all	1298.328125	664502	664744	n/a	n/a	n/a	n/a	n/a	n/a
1324.17578125	0.77734375	artefact	n/a	all	all	1324.953125	677978	678376	n/a	n/a	n/a	n/a	n/a	n/a
1329.064453125	0.556640625	artefact	n/a	all	all	1329.62109375	680481	680766	n/a	n/a	n/a	n/a	n/a	n/a
1331.966796875	0.603515625	artefact	n/a	all	all	1332.5703125	681967	682276	n/a	n/a	n/a	n/a	n/a	n/a
1335.693359375	0.392578125	artefact	n/a	all	all	1336.0859375	683875	684076	n/a	n/a	n/a	n/a	n/a	n/a
1337.6796875	0.638671875	artefact	n/a	all	all	1338.318359375	684892	685219	n/a	n/a	n/a	n/a	n/a	n/a
1679.03515625	0.341796875	artefact	n/a	all	all	1679.376953125	859666	859841	n/a	n/a	n/a	n/a	n/a	n/a
1957.142578125	0.23828125	artefact	n/a	all	all	1957.380859375	1002057	1002179	n/a	n/a	n/a	n/a	n/a	n/a
2550.58984375	0.708984375	artefact	n/a	vT1,vT2,vT3,vT4,vT5,vT6,vT7,vT8,sT1,sT2,sT3,sT4,sT5,sT6,sT7,sT8,IH1,IH2,IH3,IH4,IH5,IH6,IH7,IH8,Oc1,Oc2,Oc3,Oc4,Oc5,Oc6	vT1,vT2,vT3,vT4,vT5,vT6,vT7,vT8,sT1,sT2,sT3,sT4,sT5,sT6,sT7,sT8,IH1,IH2,IH3,IH4,IH5,IH6,IH7,IH8,Oc1,Oc2,Oc3,Oc4,Oc5,Oc6	2551.298828125	1305902	1306265	n/a	n/a	n/a	n/a	n/a	n/a
409.810546875	2302.60546875	stimulation	SPESclin	all	all	2712.416015625	209823	1388757	n/a	n/a	n/a	n/a	n/a	n/a
411.8203125	0.001	electrical_stimulation	SPESclin	n/a	n/a	411.8213125	210852	210852.512	monophasic	vT1-vT2	0.007	0.2	0.001	n/a
416.8203125	0.001	electrical_stimulation	SPESclin	n/a	n/a	416.8213125	213412	213412.512	monophasic	vT1-vT2	0.007	0.2	0.001	n/a
421.8203125	0.001	electrical_stimulation	SPESclin	n/a	n/a	421.8213125	215972	215972.512	monophasic	vT1-vT2	0.007	0.2	0.001	n/a
426.8203125	0.001	electrical_stimulation	SPESclin	n/a	n/a	426.8213125	218532	218532.512	monophasic	vT1-vT2	0.007	0.2	0.001	n/a
431.8203125	0.001	electrical_stimulation	SPESclin	n/a	n/a	431.8213125	221092	221092.512	monophasic	vT1-vT2	0.007	0.2	0.001	n/a
436.8203125	0.001	electrical_stimulation	SPESclin	n/a	n/a	436.8213125	223652	223652.512	monophasic	vT1-vT2	0.007	0.2	0.001	n/a
441.8203125	0.001	electrical_stimulation	SPESclin	n/a	n/a	441.8213125	226212	226212.512	monophasic	vT1-vT2	0.007	0.2	0.001	n/a
446.8203125	0.001	electrical_stimulation	SPESclin	n/a	n/a	446.8213125	228772	228772.512	monophasic	vT1-vT2	0.007	0.2	0.001	n/a
451.8203125	0.001	electrical_stimulation	SPESclin	n/a	n/a	451.8213125	231332	231332.512	monophasic	vT1-vT2	0.007	0.2	0.001	n/a
456.8203125	0.001	electrical_stimulation	SPESclin	n/a	n/a	456.8213125	233892	233892.512	monophasic	vT1-vT2	0.007	0.2	0.001	n/a
479.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	479.6338125	245572	245572.512	monophasic	vT3-vT2	0.007	0.2	0.001	n/a
484.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	484.6338125	248132	248132.512	monophasic	vT3-vT2	0.007	0.2	0.001	n/a
489.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	489.6338125	250692	250692.512	monophasic	vT3-vT2	0.007	0.2	0.001	n/a
494.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	494.6338125	253252	253252.512	monophasic	vT3-vT2	0.007	0.2	0.001	n/a
499.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	499.6338125	255812	255812.512	monophasic	vT3-vT2	0.007	0.2	0.001	n/a
504.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	504.6338125	258372	258372.512	monophasic	vT3-vT2	0.007	0.2	0.001	n/a
509.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	509.6338125	260932	260932.512	monophasic	vT3-vT2	0.007	0.2	0.001	n/a
514.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	514.6338125	263492	263492.512	monophasic	vT3-vT2	0.007	0.2	0.001	n/a
519.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	519.6338125	266052	266052.512	monophasic	vT3-vT2	0.007	0.2	0.001	n/a
524.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	524.6338125	268612	268612.512	monophasic	vT3-vT2	0.007	0.2	0.001	n/a
553.501953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	553.502953125	283393	283393.512	monophasic	vT3-vT4	0.007	0.2	0.001	n/a
558.501953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	558.502953125	285953	285953.512	monophasic	vT3-vT4	0.007	0.2	0.001	n/a
660.501953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	660.502953125	338177	338177.512	monophasic	vT3-vT4	0.006	0.2	0.001	n/a
676.751953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	676.752953125	346497	346497.512	monophasic	sT1-sT2	0.006	0.2	0.001	n/a
681.751953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	681.752953125	349057	349057.512	monophasic	sT1-sT2	0.006	0.2	0.001	n/a
686.751953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	686.752953125	351617	351617.512	monophasic	sT1-sT2	0.006	0.2	0.001	n/a
691.751953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	691.752953125	354177	354177.512	monophasic	sT1-sT2	0.006	0.2	0.001	n/a
696.751953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	696.752953125	356737	356737.512	monophasic	sT1-sT2	0.006	0.2	0.001	n/a
701.751953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	701.752953125	359297	359297.512	monophasic	sT1-sT2	0.006	0.2	0.001	n/a
706.751953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	706.752953125	361857	361857.512	monophasic	sT1-sT2	0.006	0.2	0.001	n/a
711.751953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	711.752953125	364417	364417.512	monophasic	sT1-sT2	0.006	0.2	0.001	n/a
716.751953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	716.752953125	366977	366977.512	monophasic	sT1-sT2	0.006	0.2	0.001	n/a
721.751953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	721.752953125	369537	369537.512	monophasic	sT1-sT2	0.006	0.2	0.001	n/a
740.220703125	0.001	electrical_stimulation	SPESclin	n/a	n/a	740.221703125	378993	378993.512	monophasic	sT3-sT2	0.007	0.2	0.001	n/a
745.220703125	0.001	electrical_stimulation	SPESclin	n/a	n/a	745.221703125	381553	381553.512	monophasic	sT3-sT2	0.007	0.2	0.001	n/a
750.220703125	0.001	electrical_stimulation	SPESclin	n/a	n/a	750.221703125	384113	384113.512	monophasic	sT3-sT2	0.007	0.2	0.001	n/a
755.220703125	0.001	electrical_stimulation	SPESclin	n/a	n/a	755.221703125	386673	386673.512	monophasic	sT3-sT2	0.007	0.2	0.001	n/a
760.220703125	0.001	electrical_stimulation	SPESclin	n/a	n/a	760.221703125	389233	389233.512	monophasic	sT3-sT2	0.007	0.2	0.001	n/a
765.220703125	0.001	electrical_stimulation	SPESclin	n/a	n/a	765.221703125	391793	391793.512	monophasic	sT3-sT2	0.007	0.2	0.001	n/a
770.220703125	0.001	electrical_stimulation	SPESclin	n/a	n/a	770.221703125	394353	394353.512	monophasic	sT3-sT2	0.007	0.2	0.001	n/a
775.220703125	0.001	electrical_stimulation	SPESclin	n/a	n/a	775.221703125	396913	396913.512	monophasic	sT3-sT2	0.007	0.2	0.001	n/a
780.220703125	0.001	electrical_stimulation	SPESclin	n/a	n/a	780.221703125	399473	399473.512	monophasic	sT3-sT2	0.007	0.2	0.001	n/a
785.220703125	0.001	electrical_stimulation	SPESclin	n/a	n/a	785.221703125	402033	402033.512	monophasic	sT3-sT2	0.007	0.2	0.001	n/a
795.9453125	0.001	electrical_stimulation	SPESclin	n/a	n/a	795.9463125	407524	407524.512	monophasic	sT3-sT4	0.007	0.2	0.001	n/a
800.9453125	0.001	electrical_stimulation	SPESclin	n/a	n/a	800.9463125	410084	410084.512	monophasic	sT3-sT4	0.007	0.2	0.001	n/a
805.9453125	0.001	electrical_stimulation	SPESclin	n/a	n/a	805.9463125	412644	412644.512	monophasic	sT3-sT4	0.007	0.2	0.001	n/a
810.9453125	0.001	electrical_stimulation	SPESclin	n/a	n/a	810.9463125	415204	415204.512	monophasic	sT3-sT4	0.007	0.2	0.001	n/a
815.9453125	0.001	electrical_stimulation	SPESclin	n/a	n/a	815.9463125	417764	417764.512	monophasic	sT3-sT4	0.007	0.2	0.001	n/a
820.9453125	0.001	electrical_stimulation	SPESclin	n/a	n/a	820.9463125	420324	420324.512	monophasic	sT3-sT4	0.007	0.2	0.001	n/a
825.9453125	0.001	electrical_stimulation	SPESclin	n/a	n/a	825.9463125	422884	422884.512	monophasic	sT3-sT4	0.007	0.2	0.001	n/a
830.9453125	0.001	electrical_stimulation	SPESclin	n/a	n/a	830.9463125	425444	425444.512	monophasic	sT3-sT4	0.007	0.2	0.001	n/a
835.9453125	0.001	electrical_stimulation	SPESclin	n/a	n/a	835.9463125	428004	428004.512	monophasic	sT3-sT4	0.007	0.2	0.001	n/a
840.9453125	0.001	electrical_stimulation	SPESclin	n/a	n/a	840.9463125	430564	430564.512	monophasic	sT3-sT4	0.007	0.2	0.001	n/a
859.751953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	859.752953125	440193	440193.512	monophasic	sT5-sT4	0.007	0.2	0.001	n/a
864.751953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	864.752953125	442753	442753.512	monophasic	sT5-sT4	0.007	0.2	0.001	n/a
869.751953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	869.752953125	445313	445313.512	monophasic	sT5-sT4	0.007	0.2	0.001	n/a
874.751953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	874.752953125	447873	447873.512	monophasic	sT5-sT4	0.007	0.2	0.001	n/a
879.751953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	879.752953125	450433	450433.512	monophasic	sT5-sT4	0.007	0.2	0.001	n/a
884.751953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	884.752953125	452993	452993.512	monophasic	sT5-sT4	0.007	0.2	0.001	n/a
889.751953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	889.752953125	455553	455553.512	monophasic	sT5-sT4	0.007	0.2	0.001	n/a
894.751953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	894.752953125	458113	458113.512	monophasic	sT5-sT4	0.007	0.2	0.001	n/a
