onset	duration	trial_type	value	sample	Baseline_temp	Cond_Block	ISI	ITI_pre	Mov_start	Pos_Block	RatingExp	RatingS1	RatingS2	Rep	Run	Stim_dur	Stim_temp	Subject	Task	Trial	X1	X2	Y1	Y2	aborted	decision	decisionRT	file	Lasershot	StimNr	invalid_trials
26.969	0.125	1st/repetition/expected	121	53938	20.0	HIGH_C	1.0	10.9854	5.1895	F	74.0	29	73	1	7	0.125	55.0	es01	expsupp	1	36	36	20	30	0	n/a	n/a	es01_0021.txt	1.0	1	0
27.9685	0.125	2nd/repetition/expected	221	55937	20.0	HIGH_C	1.0	10.9854	5.1895	F	74.0	29	73	1	7	0.125	55.0	es01	expsupp	1	36	36	20	30	0	n/a	n/a	es01_0021.txt	1.0	2	0
37.524	0.125	1st/repetition/expected	121	75048	20.0	HIGH_C	1.0	9.5483	2.5988	F	74.0	29	73	1	7	0.125	55.0	es01	expsupp	2	0	0	40	50	0	n/a	n/a	es01_0021.txt	1.0	1	0
38.524	0.125	2nd/repetition/expected	221	77048	20.0	HIGH_C	1.0	9.5483	2.5988	F	74.0	29	73	1	7	0.125	55.0	es01	expsupp	2	0	0	40	50	0	n/a	n/a	es01_0021.txt	1.0	2	0
48.8815	0.125	1st/repetition/expected	121	97763	20.0	HIGH_C	1.0	10.3453	4.0076	F	74.0	29	73	1	7	0.125	55.0	es01	expsupp	3	48	48	20	30	0	n/a	n/a	es01_0021.txt	1.0	1	0
49.8815	0.125	2nd/repetition/expected	221	99763	20.0	HIGH_C	1.0	10.3453	4.0076	F	74.0	29	73	1	7	0.125	55.0	es01	expsupp	3	48	48	20	30	0	n/a	n/a	es01_0021.txt	1.0	2	0
58.841	0.125	1st/omission/unexpected	112	117682	20.0	HIGH_C	1.0	8.9454	2.6713	F	74.0	29	73	0	7	0.125	55.0	es01	expsupp	4	12	12	0	10	0	n/a	n/a	es01_0021.txt	1.0	1	0
59.841	0.125	2nd/omission/unexpected	212	119682	20.0	HIGH_C	1.0	8.9454	2.6713	F	74.0	29	73	0	7	0.125	55.0	es01	expsupp	4	12	12	0	10	0	n/a	n/a	es01_0021.txt	1.0	2	0
72.0425	0.125	1st/repetition/expected	121	144085	20.0	HIGH_C	1.0	11.9545	2.6438	F	74.0	29	73	1	7	0.125	55.0	es01	expsupp	5	0	0	0	10	0	n/a	n/a	es01_0021.txt	1.0	1	0
73.042	0.125	2nd/repetition/expected	221	146084	20.0	HIGH_C	1.0	11.9545	2.6438	F	74.0	29	73	1	7	0.125	55.0	es01	expsupp	5	0	0	0	10	0	n/a	n/a	es01_0021.txt	1.0	2	0
83.4095	0.125	1st/repetition/expected	121	166819	20.0	HIGH_C	1.0	10.3551	4.3878	F	74.0	29	73	1	7	0.125	55.0	es01	expsupp	6	24	24	30	40	0	n/a	n/a	es01_0021.txt	1.0	1	0
84.4095	0.125	2nd/repetition/expected	221	168819	20.0	HIGH_C	1.0	10.3551	4.3878	F	74.0	29	73	1	7	0.125	55.0	es01	expsupp	6	24	24	30	40	0	n/a	n/a	es01_0021.txt	1.0	2	0
93.2185	0.125	1st/repetition/expected	121	186437	20.0	HIGH_C	1.0	8.7963	2.7399	F	74.0	29	73	1	7	0.125	55.0	es01	expsupp	7	24	24	0	10	0	n/a	n/a	es01_0021.txt	1.0	1	0
94.218	0.125	2nd/repetition/expected	221	188436	20.0	HIGH_C	1.0	8.7963	2.7399	F	74.0	29	73	1	7	0.125	55.0	es01	expsupp	7	24	24	0	10	0	n/a	n/a	es01_0021.txt	1.0	2	0
106.192	0.125	1st/omission/unexpected	112	212384	20.0	HIGH_C	1.0	11.9607	3.3463	F	74.0	29	73	0	7	0.125	55.0	es01	expsupp	8	36	36	40	50	0	n/a	n/a	es01_0021.txt	1.0	1	0
107.192	0.125	2nd/omission/unexpected	212	214384	20.0	HIGH_C	1.0	11.9607	3.3463	F	74.0	29	73	0	7	0.125	55.0	es01	expsupp	8	36	36	40	50	0	n/a	n/a	es01_0021.txt	1.0	2	0
118.851	0.125	1st/repetition/expected	121	237702	20.0	HIGH_C	1.0	11.4124	3.847	F	74.0	29	73	1	7	0.125	55.0	es01	expsupp	9	36	36	0	10	0	n/a	n/a	es01_0021.txt	1.0	1	0
